productName,productDescription,productPartNumber,productManufacturer,productNormalPrice,productSellingPrice
"750va APC smart UPS","APC Smart-UPS 750VA LCD 230V model: SMT750IC: Power Output Capacity: 750 VA 500 W; Input Voltage Range: 162-290 V; Output Voltage: 230V; Form Factor: Tower; Battery Type: Sealed Lead-Acid; Display: LCD; Battery Runtime at Full Load: 4.4 minutes; Surge Protection: Yes (withT APC Smart-UPS 750VA LCD 230V","SMT750IC","APC","100.00","495.00"
"W2010A Hp 659A Black LaserJet Toner Cartridge","Physical/Dimensions: Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.3kg. Operating Temperature: 10 to 32.5°C. Storage Temperature: -20 to 40°C. Carton Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.84kg. Consumable Info: Model name (short code): 659A. In The Box: HP 659A Yellow Toner Cartridge (13000 Pages), Recycling Guide. Cartridges Included: Yellow - 16000 Pages.","W2010A","HP","20.00","314.00"
"W2011A Hp 659A Cyan LaserJet Toner Cartridge","Physical/Dimensions: Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.3kg. Operating Temperature: 10 to 32.5°C. Storage Temperature: -20 to 40°C. Carton Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.84kg. Consumable Info: Model name (short code): 659A. In The Box: HP 659A Yellow Toner Cartridge (13000 Pages), Recycling Guide. Cartridges Included: Yellow - 13000 Pages.","W2011A","HP","20.00","425.00"
"W2012A Hp 659A Magenta LaserJet Toner Cartridge","Physical/Dimensions: Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.3kg. Operating Temperature: 10 to 32.5°C. Storage Temperature: -20 to 40°C. Carton Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.84kg. Consumable Info: Model name (short code): 659A. In The Box: HP 659A Yellow Toner Cartridge (13000 Pages), Recycling Guide. Cartridges Included: Yellow - 13000 Pages.","W2012A","HP","20.00","425.00"
"W2013A Hp 659A Yellow LaserJet Toner Cartridge","Physical/Dimensions: Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.3kg. Operating Temperature: 10 to 32.5°C. Storage Temperature: -20 to 40°C. Carton Dimensions: 483mm (W) x 155mm (D) x 198mm (H) - 1.84kg. Consumable Info: Model name (short code): 659A. In The Box: HP 659A Yellow Toner Cartridge (13000 Pages), Recycling Guide. Cartridges Included: Yellow - 16000 Pages.","W2013A","HP","20.00","425.00"
"HP M776 Toner Collection Kit","page yield of up to 90,000 pages, compatible with HP Color LaserJet Enterprise M751, M776, and M856 series printers.","3WT90A","HP","17.00","95.00"
"HP 660AT Toner-cartridge Drum","HP 660AT Toner-cartridge Drum","W2004A","HP","17.00","425.00"
"Lenovo Keyboard and Mouse Combos","Keyboard and Mouse: Wireless, rechargeable, ergonomic design | Connectivity: 2.4GHz wireless connection via USB receiver | Keyboard: Quiet, low-profile keys | Mouse: Ambidextrous design, precise optical sensor | Compatibility: Windows, macOS, Linux | Battery: Long-lasting rechargeable battery.","4X31K03931","Lenovo","49.00","97.00"
"Lenovo ThinkCentre M90a Gen 5","Lenovo Thinkcenter M90a Gen 5 (24 intel) All- in-one | Processor: 14th Generation Intel® Core™ i7-14700 Processor with vPro® (E-Core Max 4.20 GHz, P-Core Max 5.30 GHz with Turbo Boost, 20 Cores, 28 Threads, 33 MB Cache) | Display: 23.8"" FHD (1920 x 1080) IPS, touchscreen, near edgeless, antiglare, 72% NTSC, 60Hz refresh rate, 1000:1 contrast ratio, low blue light (software controlled), 16.7M color support. 250cd/m2 brightness, 14ms response time | Storage: 512GB PCle SSD | Memory: 32GB DDR5 5600MHz | Graphics: Intel® UHD Graphics 730| Audio: 3W x 2 speakers with Dolby Atmos | Camera: 5M RGB non-tilt camera wireless: Intel® WiFi 6 AX201 802.11AX (2 x 2) & Bluetooth® 5.1 |Connectivity: (3 x USB-A, 3-in-1 card reader, Headphone / mic combo, DisplayPort 1.4 (out), Ethernet (RJ45), HDMI in 1.4 / out 2.1 combo (up to HDMI 2.1","12SMS0CQ00","Lenovo","30.00","1969.99"
"Lenovo ThinkPad X13 Gen 5","Intel (13"") | Processor: Intel® Core™ Ultra 7 165U vPro® Processor (E-cores up to 3.80 GHz P-cores up to 4.90 GHz) || Display: 13.3"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 300 nits, 60Hz| Memory: 32GB LPDDR5X-6400MHz (Soldered) | Solid State Drive: 1TB SSD M.2 2280 PCle Gen4 TLC Opal | Graphic Card: Integrated Intel® Graphics | Camera: 5MP RGB with Privacy and Dual Microphone Human Presence Detection: No Human Presence Detection Color: Black | Top Cover Material: Hybrid Carbon Fiber (PC20%CF + PC50%GF)| Wireless: Intel® Wi-Fi 6E AX211 2x2 AX vPro® & Bluetooth® 5.1 (Windows 10) or Bluetooth® 5.3 (Windows 11) | Integrated Mobile Broadband: No Wireless WAN | Fingerprint Reader: Fingerprint Reader | Keyboard: Black - English (US) | PM Setting: Enabled Discrete TPM2.0 | Battery: 3 Cell Li-Polymer 41Wh Power Cord: 65W USB-C Slim 90% PCC 2pin AC Adapter - US Year Courier or Carry-in","21LVS7FP00","Lenovo","60.00","2090.00"
